config,rpm,v_inf_ms,T_gf,T_N,CT,CP,J,eta
conventional,1000,0.0,12.5,0.123,0.1082,0.0487,0.000,0.000
conventional,1500,0.0,27.8,0.273,0.1077,0.0480,0.000,0.000
conventional,2000,0.0,49.2,0.483,0.1070,0.0474,0.000,0.000
conventional,2500,0.0,76.8,0.754,0.1065,0.0470,0.000,0.000
conventional,3000,0.0,110.5,1.085,0.1059,0.0465,0.000,0.000
conventional,3500,0.0,150.3,1.475,0.1054,0.0462,0.000,0.000
conventional,4000,0.0,196.2,1.926,0.1048,0.0458,0.000,0.000
conventional,4500,0.0,248.4,2.438,0.1044,0.0456,0.000,0.000
conventional,5000,0.0,307.1,3.014,0.1040,0.0454,0.000,0.000
conventional,5500,0.0,371.9,3.651,0.1036,0.0452,0.000,0.000
conventional,6000,0.0,443.2,4.350,0.1033,0.0450,0.000,0.000
toroidal_low_gap,1000,0.0,10.8,0.106,0.0934,0.0521,0.000,0.000
toroidal_low_gap,1500,0.0,24.6,0.241,0.0954,0.0510,0.000,0.000
toroidal_low_gap,2000,0.0,44.8,0.440,0.0977,0.0503,0.000,0.000
toroidal_low_gap,2500,0.0,71.6,0.703,0.0997,0.0498,0.000,0.000
toroidal_low_gap,3000,0.0,105.3,1.033,0.1014,0.0495,0.000,0.000
toroidal_low_gap,3500,0.0,147.5,1.448,0.1030,0.0493,0.000,0.000
toroidal_low_gap,4000,0.0,197.8,1.942,0.1059,0.0490,0.000,0.000
toroidal_low_gap,4500,0.0,256.2,2.515,0.1075,0.0488,0.000,0.000
toroidal_low_gap,5000,0.0,323.9,3.179,0.1076,0.0485,0.000,0.000
toroidal_low_gap,5500,0.0,399.4,3.921,0.1092,0.0483,0.000,0.000
toroidal_low_gap,6000,0.0,484.4,4.755,0.1104,0.0480,0.000,0.000
toroidal_medium_gap,1000,0.0,11.2,0.110,0.0968,0.0538,0.000,0.000
toroidal_medium_gap,1500,0.0,25.5,0.250,0.0991,0.0524,0.000,0.000
toroidal_medium_gap,2000,0.0,46.2,0.454,0.1009,0.0516,0.000,0.000
toroidal_medium_gap,2500,0.0,73.9,0.725,0.1030,0.0510,0.000,0.000
toroidal_medium_gap,3000,0.0,108.8,1.068,0.1047,0.0506,0.000,0.000
toroidal_medium_gap,3500,0.0,151.8,1.490,0.1065,0.0503,0.000,0.000
toroidal_medium_gap,4000,0.0,203.8,2.000,0.1092,0.0499,0.000,0.000
toroidal_medium_gap,4500,0.0,265.2,2.602,0.1118,0.0496,0.000,0.000
toroidal_medium_gap,5000,0.0,336.4,3.302,0.1119,0.0493,0.000,0.000
toroidal_medium_gap,5500,0.0,417.4,4.097,0.1142,0.0490,0.000,0.000
toroidal_medium_gap,6000,0.0,508.5,4.993,0.1160,0.0488,0.000,0.000
toroidal_high_gap,1000,0.0,10.1,0.099,0.0872,0.0558,0.000,0.000
toroidal_high_gap,1500,0.0,22.8,0.224,0.0887,0.0545,0.000,0.000
toroidal_high_gap,2000,0.0,41.2,0.404,0.0898,0.0536,0.000,0.000
toroidal_high_gap,2500,0.0,65.8,0.646,0.0918,0.0530,0.000,0.000
toroidal_high_gap,3000,0.0,96.9,0.951,0.0932,0.0526,0.000,0.000
toroidal_high_gap,3500,0.0,136.5,1.340,0.0953,0.0523,0.000,0.000
toroidal_high_gap,4000,0.0,184.4,1.810,0.0987,0.0518,0.000,0.000
toroidal_high_gap,4500,0.0,241.8,2.374,0.1021,0.0515,0.000,0.000
toroidal_high_gap,5000,0.0,308.4,3.027,0.1027,0.0512,0.000,0.000
toroidal_high_gap,5500,0.0,383.1,3.761,0.1048,0.0508,0.000,0.000
toroidal_high_gap,6000,0.0,464.2,4.556,0.1059,0.0505,0.000,0.000
